"","nodes","id","username","name","description","created_at","verified","follower_count","indegree","outdegree","degree"
"40",40,"970115109681967104","Anim8rgirl","Anim8erGirl_BlackLivesMatter_SheHer","Former Anim Lead on CW Superhero shows. Now Senior Animator at Zenimax Online. Screenwriting 2, 2nd Rounder at AFF 2022 -Godzilla Stan, Andor Stan account.","2018-03-04T01:54:00.000Z",FALSE,7666,0,1,1
"41",41,"825372921245863936","Clarity_mae","Paula M. Knier 🌹","Resister. Voter. BLM. LGBTQ ally. A mom, wife, and friend. Restorer of old things. Friend to all living creatures. Native plant enthusiast. Wiccan.","2017-01-28T16:00:13.000Z",FALSE,647,0,1,1
"42",42,"3369826552","DrAverbee","Avery Russell @draverbee.bsky.social","#RussellLab studies #bees #behaviour #microbes & #flower #evolution @MissouriState | #PUI | #SciComm #DiversityInSTEM #BLM #WomenInSTEM #Humanities | he/him","2015-07-10T20:48:36.000Z",FALSE,2621,0,1,1
"43",43,"933302672043724802","maryambichi_","Maryam Abbas A. Bichi ARPA","•Hausa Digital Marketing expert 📱💻 •Building @easymart_nig •Host / Convener @muinganta_sanaa Muslima trying 2 escape temptations of d 21st Century.","2017-11-22T11:54:31.000Z",FALSE,3929,0,3,3
"44",44,"1502413220513988612","SalisuAsibiti02","Salisu Abdulhamid","I am humble, generous and easy going person. I am also a kind of person who loves to relate with trustworthy and responsible people.","2022-03-11T22:37:15.000Z",FALSE,45,1,2,3
"45",45,"2873574055","KawuGarba","Kawu Garba","Allergic to stupidity | Politics","2014-10-23T15:16:42.000Z",FALSE,24515,2,0,2
"46",46,"1197104246069637120","AbbaM_Abiyos","Comrade Abiyos Roni.","Revolutionary Comrade• Hypercritic• Community Activist• I say truth that hurts people feelings• #HalaMadrid","2019-11-20T10:48:02.000Z",FALSE,59100,2,0,2
"47",47,"304686852","KnightsOfArabia","Aisha Bilal","Author, Photographer, Archer, Bookworm, Geek. [You'll find that people are minerals (e.g. some are gold, some are silver, etc)] - Muhammad PBUH #Islam #Muslim","2011-05-24T23:11:29.000Z",FALSE,1007,0,1,1
"48",48,"392527249","AdamMatichak","Adam Matichak, DPT (he/him)","Board Certified Clinical Specialist in Oncologic PT - Stanford BMT/CAR-T - Husband - Dad x2 - Tweets are my own","2011-10-17T05:28:34.000Z",FALSE,510,0,1,1
"49",49,"3125557383","PTPintcast","🟡 PT Pintcast™","If a TED Talk & a radio show had a baby & raised it in a physical therapy clinic. 5 Million Listens & counting! Jimmy McKay, PT, DPT","2015-03-29T04:11:02.000Z",FALSE,10742,1,0,1
"50",50,"16567880","dustbunny105","a cosmic worm","Dust; 35; she/they
The block button is a good friend of mine and I'm happy to introduce you.","2008-10-02T22:20:10.000Z",FALSE,54,0,1,1
"51",51,"1076903502071414784","_kotokiri","kerry 🍉","20 |she/her| greek/eng

godless heathen

go read survivor type by stephen king

🤍言切|士言|士切🤍

pro-fiction","2018-12-23T18:12:57.000Z",FALSE,29,0,1,1
"52",52,"1649057690247675904","MelisandeNeuro","Mélise 🇵🇸","Black feminist, neuroscience phd candidate: bioinformatics, neurodegeneration, & hormones. ecology & evolutionary biology bsc. Ask me about whales!","2023-04-20T14:29:35.000Z",FALSE,858,0,2,2
"53",53,"555984374","dorothyk98","Dr. Dorothy Kim","Medievalist, digital humanist, intersectional feminist. She/her/hers.","2012-04-17T13:53:25.000Z",FALSE,9720,0,1,1
"54",54,"1689112281404280832","QuietPart","Saying the quiet part out loud","Resistance can be peaceful… until it needs to be loud & chaotic / 🇵🇰☪️ / M.A. Trauma Psychology / all trigger warnings","2023-08-09T03:12:38.000Z",FALSE,300,0,1,1
"55",55,"41089713","obes88","Rob K Chalmers Jr/Hehàka Tò Hokshida","XVIII..
Wicasa Tokca","2009-05-19T10:14:36.000Z",FALSE,1160,0,1,1
"56",56,"1641149718","hannah_merseal","Hannah Merseal","chaotic good PhD candidate studying the cognitive neuroscience of creativity, network science, + applications to different real-world domains","2013-08-02T19:41:27.000Z",FALSE,788,0,1,1
"57",57,"48200575","Winshield20","Winshield","Brooklyn Technical H.S. Graduate; U.S. Navy Veteran; Public Utility Union Worker","2009-06-18T01:45:17.000Z",FALSE,4299,0,1,1
"58",58,"862790375517310976","CultureCriticZ","Culture Critic Z","cartography, geography, economics, politics, sociology, anthropology, philosophy, theology, design, music, architecture, computers & technology, comics","2017-05-11T22:03:50.000Z",FALSE,630,0,1,1
"59",59,"286944108","RequiemPluie","michiums 💙sky 🇦🇲💜🇵🇸","🏳️‍⚧️🇦🇲disabled Ringo + Eisner Award Nominated + award-winning comic artist✨jewish/roma, 28✨DC/Arledge Comics/LIMIT BREAK/SENSORY ANTHOLOGY & more ✨🌈","2011-04-24T01:06:02.000Z",FALSE,4972,0,1,1
"60",60,"3072560663","NeverLearnedTo","Tree Yannetty is on TW!TTER","🌞: ♓, ☝🏻: ♈, 🌒: ♌
she/they
white, abled
""100% magical, 1% effectual""

#BlackLIvesMatter #IndigenousLivesMattter #AbolishThePolice #CapitalismKills","2015-03-05T14:57:40.000Z",FALSE,113,0,1,1
"61",61,"225301621","chaplinscourage","chaplinscourage","Call it climate breakdown, because that is what it is.  timeline = notebook, RT = noted, may(not) agree","2010-12-11T07:14:06.000Z",FALSE,1846,0,1,1
"62",62,"123347740","town_of_durham","Town of Durham, NH","Official Twitter Account for the Town of Durham, NH","2010-03-15T20:19:41.000Z",FALSE,1040,0,1,1
"63",63,"19334875","FostersDailyDem","Fosters Daily Democrat","The New Hampshire and Maine source for news in Strafford, Rockingham and York counties. Part of @USATODAY Network.","2009-01-22T11:30:57.000Z",FALSE,18054,1,0,1
"64",64,"826449810492362756","jepatste","Jens Stegmaier","job displacement | works councils | non-standard employment | robots | surveys | @iab_news | my views, what else? | tweets in 🇬🇧 & 🇩🇪","2017-01-31T15:19:24.000Z",FALSE,615,0,1,1
"65",65,"1241037186763350016","TillvonWachter","Till von Wachter","Prof. of Economics - Associate Dean for Research @UCLA - Director @CAPolicyLab","2020-03-20T16:21:55.000Z",FALSE,1194,5,0,5
"66",66,"4854532660","PhillipsEcon","David Phillips","Mostly on impact evaluation and poverty in the US. Also, occasional insights from small children.","2016-01-27T18:48:54.000Z",FALSE,794,0,1,1
"67",67,"1416022111","LaurawherryR","Laura Wherry","assoc prof of econ & public service @NYUWagner, previously @UCLA_GIMHSR and @RWJF health & society scholar @umichsph, @HarrisPolicy grad (she/her)","2013-05-09T17:10:14.000Z",FALSE,3148,0,1,1
"68",68,"1326613894899658753","MarthaF_F","Martha Fiehn","RA @YaleEcon; Previously RA @HarvardEcon, econ @ucberkeley and int'l econ policy @sciencespo. Tax, labor, law, climate. From Berlin + California. Love bikes","2020-11-11T19:53:08.000Z",FALSE,919,0,1,1
"69",69,"897785401884237824","D_Langenmayr","Dominika Langenmayr","Economist working mostly on tax topics; Professor of Economics, esp. Public Finance, at KU Eichstätt-Ingolstadt; Mom of 2","2017-08-16T11:41:34.000Z",FALSE,9684,1,0,1
"70",70,"191272793","EPAjobs","EPA Jobs","From tackling the climate crisis to advancing environmental justice, what happens at @EPA changes the world. Join our team and #BeEPA ➡️ https://t.co/AufB5j2Huw","2010-09-16T01:22:25.000Z",FALSE,5751,0,1,1
"71",71,"34303729","EPAregion3","US EPA Mid-Atlantic","News/highlights/tips & other info from Mid-Atlantic Regional office of US EPA. Serving DE, DC, MD, PA, VA, WV & 7 tribes. 🌎 RTs & follows are not endorsements","2009-04-22T15:36:11.000Z",FALSE,12878,1,1,2
"72",72,"14615871","EPA","U.S. EPA","Our mission is to protect human health and the environment.","2008-05-01T16:07:59.000Z",TRUE,623500,1,0,1
"73",73,"1352743875476140032","SlavikKenKW","Ken Slavik PhD","As a #REALTOR®️I’m committed to providing you trusted service to make sound realestate decisions #Phillies #Philadelphia #firsttimehomebuyers #homesellers","2021-01-22T22:24:43.000Z",FALSE,156,0,1,1
"74",74,"2980068298","VikingsNPU","North Park Vikings","The official account for North Park University Athletics. Go Vikings!","2015-01-15T16:51:35.000Z",FALSE,2382,1,0,1
"75",75,"1303396375875510272","UnionizeUnl","UnionizeUNL","We are UNL graduate student workers joining together in community & solidarity to fight for the rights of all grad students. We want you to join us! 🥖🌹","2020-09-08T18:15:11.000Z",FALSE,337,9,4,13
"76",76,"863923048172408833","kathleenrose89","Kathleen Rose","Anarcho-syndicalist. Cat & plant mom. Trekkie. UNL Comp/Rhet Ph.D. candidate & instructor. Bipolar chronic spoonie. Pan & proud. #BLM #UnionizeUNL she/her","2017-05-15T01:04:40.000Z",FALSE,328,1,3,4
"77",77,"1516839487","cecaroliena","Caroliena Cabada isn't here, there, or anywhere","She/her. PhD student @UNLwriters. Reads @TheSchooner. cecaroliena on bsky. Views really, really my own. 
💻: https://t.co/QrKQsgEiP7","2013-06-14T15:53:54.000Z",FALSE,1120,2,0,2
"78",78,"925134976252702720","CAPolicyLab","California Policy Lab","The California Policy Lab translates research insights into government impact. Sign up for updates: https://t.co/K5JioqBsAm Press contact-sean@capolicylab.org","2017-10-30T22:59:01.000Z",FALSE,4279,0,1,1
"79",79,"1625626783042179072","MarmsReginBrand","MarmsRegine Amazon Brand Marketing Influencer","Amazon Influencer-https://t.co/HXI4VJyWc8. Watch-https://t.co/Rx4Yx1ov3l. Buy Apparel-https://t.co/iLtpT6n5jE. Shop Now-https://t.co/z5TlCVXIGf.","2023-02-14T22:43:47.000Z",FALSE,112,0,1,1
"80",80,"1527375115796656135","MarmsReginShop8","MarmsRegine Universal Shop","Academic Tutor, Coach, Digital Content Writer/Author, Podcaster, Affiliate Marketer & Medium Publisher. Follow links- https://t.co/njfDvYi5f4","2022-05-19T19:46:47.000Z",FALSE,504,1,0,1
"81",81,"1020775611667709956","Marklakin6","Marklakin","guitarist, rubick's cuber, bbq enthusiast","2018-07-21T21:00:45.000Z",FALSE,8,0,4,4
"82",82,"170202195","zofer11","Zoë Ferguson","A reasonable person. Of NYC Washington Heights/The Bronx. Recently moved to Portland OR.. Proud American of Ukrainian/Irish heritage. Vatniks🚫 🇺🇦🇺🇲🇮🇪","2010-07-24T05:26:38.000Z",FALSE,868,1,0,1
"83",83,"21593647","Kittywampus","Dr. 🐯PattyCatty🦁Stokes😸","🐾 cats rule 🐾 my follows & RT ≠ endorsement 🐾 aiming to stay curious - like all the best cats 🐾","2009-02-22T20:11:46.000Z",FALSE,1980,1,0,1
"84",84,"214337395","jessesingal","Jesse Singal","I make text and voice words. @fsgbooks, former @NYMag. Cohost @TheBARPod, the first-ever podcast: https://t.co/1qH8Ez9XYO * jesse.r.singal@gmail.com","2010-11-11T04:35:40.000Z",FALSE,154739,2,0,2
"85",85,"50446226","jonathanchait","Jonathan Chait","Writer for New York magazine. Tweets with links are intended as prompts to read the linked story, not self-contained arguments substituting for the linked story","2009-06-24T21:26:30.000Z",FALSE,203229,1,0,1
"86",86,"2185586300","FrizzleFTW","Deandra S","All things counter, original, spare, strange ... He fathers forth whose beauty is past change: / Praise Him.","2013-11-10T04:26:07.000Z",FALSE,42,0,1,1
"87",87,"16347021","lyndseyfifield","Lyndsey Fifield","🐓 semi-crunchy mom 🏠 homemaker 🇺🇸 visiting fellow @IWF","2008-09-18T14:08:09.000Z",FALSE,31208,1,0,1
"88",88,"1458052418","love2read78","aimeeL","Avid reader, traveler &theatre groupie who doesn't suffer fools. Bored?-pick up a book and read. Never stop learning. Investment Manager by trade.","2013-05-25T21:04:54.000Z",FALSE,52,0,2,2
"89",89,"2763997308","RosieLee777","Rosie Lee 🇬🇧🇬🇧 (Rho)","Love reading,Belgian Malinois dogs, Royal Family, and the Isle of Wight. Read far too much. Today's picture. Will block if uncertain.","2014-08-24T21:17:12.000Z",FALSE,2289,1,0,1
"90",90,"1547568463261999106","TribesBritannia","Prince & Princess of Wales 𝕏","A Celtic Tribesman and proud of it 🏴󠁧󠁢󠁳󠁣󠁴󠁿 🇮🇪 🏴󠁧󠁢󠁷󠁬󠁳󠁿 🏴󠁧󠁢󠁥󠁮󠁧󠁿 🇯🇪 this is a fan account of the Prince and Princess of Wales ❤️","2022-07-14T13:07:48.000Z",FALSE,35704,1,0,1
"91",91,"1046611380831318017","MLinmark","Mike Linmark","","2018-10-01T04:02:53.000Z",FALSE,8,0,2,2
"92",92,"1389506293891698693","SultanM45488238","cocomo","Want Peace , Photographer, interested in Moon, Sky, Stars, Sunset, Sunrise, In short every phase of Nature","2021-05-04T09:05:09.000Z",FALSE,5333,1,0,1
"93",93,"878284831","OccupyDemocrats","Occupy Democrats","#1 Democratic organization on social media. NY Times says we helped defeat Trump in 2020. Follow us on Facebook, Tik-Tok, IG & Tribel: https://t.co/RvkKYTKXE3","2012-10-13T17:12:40.000Z",FALSE,676639,1,0,1
"94",94,"15996527","dyl__ans","ds, m.a. 🔻","Temple U. MSP '23 || Barista, inter alia || Deleuze, Deepfakes, Generative AI, &c. || He/Him","2008-08-26T13:58:48.000Z",FALSE,1332,0,1,1
"95",95,"2873884427","rinewithoutacat","RV PhD 🚐","name rhymes with 'tin wreath' | analog(u)e but very online | researches migration, law, govt, religion | personal acct, but I cite my sources | they/iel","2014-11-12T16:00:14.000Z",FALSE,4185,1,0,1
"96",96,"1413339677256413188","NevinLawrence","Nevin","NE Panhandle Weed Scientist. My hobbies include poorly maintaining a smallholding. Father to four, husband to @LorentLouise. @thelcms.","2021-07-09T03:30:20.000Z",FALSE,489,0,1,1
"97",97,"602538744","LynnSosnoskie","Lynn Sosnoskie, Ph.D.","Weed scientist. Assistant Professor at Cornell. LVC (BSc) UD (MSc) OSU (PhD). Lots of places since then. Overloaded serial stressor. Views are mine she/her","2012-06-08T04:27:03.000Z",FALSE,13642,1,0,1
"98",98,"1554139309090881537","MichaelDoesMath","Michael","","2022-08-01T16:19:06.000Z",FALSE,39,0,2,2
"99",99,"1726985750606962688","ColdFresca","Tasty Beverage","grapefruit so good","2023-11-21T15:27:55.000Z",FALSE,8,0,2,2
"100",100,"14611587","constans","constans","hard scrabble, yet privileged, NJ flotsam. GenX hegemonist constans@constans.bsky.social if you need to find me elsewhere","2008-05-01T07:18:51.000Z",FALSE,5066,1,0,1
"101",101,"15446531","mattyglesias","Matthew Yglesias","Slow Boring, cohosting  https://t.co/wxUj3JFSFf, Bloomberg columnist","2008-07-15T21:44:28.000Z",FALSE,540119,1,0,1
"102",102,"485195061","LithopsEffect_","""m,"" i guess 🇵🇸","noise.
""phd"" ""candidate.""
sworn enemy and avowed hater of the University of Iowa School of Music.
somehow 30.
clocky bitch.","2012-02-06T23:04:12.000Z",FALSE,119,0,1,1
"103",103,"1577678696822935553","azjcgal","jc","","2022-10-05T15:15:30.000Z",FALSE,72,0,2,2
"104",104,"1259147897817280512","ElizabethAnnL16","Beth Large💙💙💙☮️🌊","PROUD WOKE GAL!!! 27 years sober! I fully support Ukraine! Follow back all who vote blue! #Biden Harris 2024! NO DM'S!!!","2020-05-09T15:47:25.000Z",FALSE,36931,1,0,1
"105",105,"1517524978115268608","mean_toe","AC","NO MAGATS #bluecrew","2022-04-22T15:25:43.000Z",FALSE,7704,1,0,1
"106",106,"38400888","UcheAnne","Uche Okonkwo","""A Kind of Madness,"" Tin House 16 April, 2024 | 2021-2022 Steinbeck Fellow | 2020-2021 George Bennett Fellow | UNL English | MFA Fiction Virginia Tech","2009-05-07T09:22:59.000Z",FALSE,1018,0,1,1
"107",107,"363608250","ahpetite","Ber Anena","📄Writer. PhD student @UNLincoln 🎓@Columbia alum 📚 Author, A Nation in Labour. 🏆Wole Soyinka Prize for Literature in Africa. / Represented by @UnitedAgents","2011-08-28T11:25:29.000Z",FALSE,6861,0,2,2
"108",108,"16127862","jessicapoli_","Jessica Poli","Author of Red Ocher (@uarkpress) | PhD student @UNLwriters | Associate Editor @theschooner","2008-09-04T11:51:11.000Z",FALSE,1065,0,1,1
"109",109,"1166285319022338048","nssrdbangalore","NSSRDBANGALORE","NSS Regional Directorate Bangalore","2019-08-27T09:46:09.000Z",FALSE,3198,0,3,3
"110",110,"420974569","manusm_iari","Manu Sundavalu","Research Fellow at Indian Agricultural Research Institute, New Delhi","2011-11-25T10:17:06.000Z",FALSE,884,2,3,5
"111",111,"1044909580763820037","iaripusa1","IARI Pusa New Delhi","ICAR-IARI, New Delhi is India's premier agricultural research institute and a deemed university. The institute is seat of green revolution in the country.","2018-09-26T11:20:32.000Z",FALSE,3554,2,0,2
"112",112,"2890004220","aks_gene","A.K. Singh","Director, IARI","2014-11-04T17:43:42.000Z",FALSE,1888,2,0,2
"113",113,"69136365","NebraskaSower","Robert Smith","The Salvation of the State is Watchfulness in the Citizen. ~ Hartley Burr Alexander's words chiseled on the Nebraska State Capitol. Vote May 14, 2024 ⚖️","2009-08-26T23:46:07.000Z",FALSE,3150,0,1,1
"114",114,"1344368367948468230","AD_Ultman","A.D. Ultman","A voice for reason in an unreasonable time. Citizen, teacher, author, from the 80s. “To learn and to help”","2020-12-30T19:43:08.000Z",FALSE,326,0,2,2
"115",115,"195129672","MuseZack","Zack Stentz","Screenwriter (Thor, X-Men: FC, The Flash, Rim of the World, Jurassic World: Camp Cretaceous, Empire of Wolves, Raven.) https://t.co/8rrnXI8pra","2010-09-25T22:02:28.000Z",FALSE,39122,1,0,1
"116",116,"35552636","AmeliaMiramonti","Amelia Miramonti","Interdisciplinary PhD candidate: Stats/Research Methods & Ex Phys/Nutrition. Former rugby player/coach, hiker, climber, traveler.

She/her.","2009-04-26T20:14:58.000Z",FALSE,646,0,1,1
"117",117,"91829856","Avalanchian","Matthew McRobie","He/Him, 35, Bi, Poly, Chemist, Vegan, Leftist, Nerd. 
Probably AuDHD. 
Definitely depressed.","2009-11-22T17:29:55.000Z",FALSE,404,0,1,1
"118",118,"16738904","suchnerve","Vivian","shrieking, incandescent ball of rage trapped inside the body of a depressed horny commie nerd woman, wrapped in a veneer of brazen shitposting named vivian","2008-10-14T14:49:23.000Z",FALSE,19765,1,0,1
"119",119,"3003583004","OLSCFellowship","LSC Fellowship","The Ohio General Assembly, through the Ohio Legislative Service Commission (LSC), sponsors 23 - 24 paid thirteen-month fellowship positions within state gov.","2015-01-30T14:46:26.000Z",FALSE,383,0,1,1
"120",120,"213351578","Capital_U","Capital University","Founded in 1830, Capital University is a private university with comprehensive graduate programs, located in the Columbus, Ohio suburb of Bexley.","2010-11-08T18:04:10.000Z",FALSE,6539,1,0,1
"121",121,"45892129","kljungz","kob","got reported for calling a prof a bootlicker once | uaw staff organizer | affiliated w/ @harvarduwu @hgsuuaw @nugradunion","2009-06-09T17:41:04.000Z",FALSE,1469,0,1,1
"122",122,"1615782013168156672","cam_kettles","Cam E. Kettles","covering Central Administration @thecrimson |Harvard '26|
tips: cam.kettles@thecrimson.com (she/they)","2023-01-18T18:44:05.000Z",FALSE,568,2,1,3
"123",123,"174223715","Udadisi","UDADISI","@ChambiChachage
https://t.co/BZqAR0JVah
https://t.co/qQZcPRprHP
https://t.co/cQXpCqm7Er
https://t.co/gcXPvKMZhp
https://t.co/uPw1wmI9A8","2010-08-03T11:59:26.000Z",FALSE,109397,0,1,1
